UniprotID	Q6YHU6-6
Accession	Q6YHU6;A8K1V8;B7WNS6;Q3KR04;Q53RC6;Q53TB2;Q6YHU2;Q6ZU38;Q8IY32;Q8TAU8;Q96I88;Q9BZF7;Q9C096;Q9H6U0;Q9H6W7
EntryName	THADA_HUMAN
ProteinName	tRNA (32-2'-O)-methyltransferase regulator THADA (Gene inducing thyroid adenomas protein) (Thyroid adenoma-associated protein)
GeneName	THADA GITA KIAA1767
Length	894
Function	Together with methyltransferase FTSJ1, methylates the 2'-O-ribose of nucleotides at position 32 of the anticodon loop of substrate tRNAs.
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5664315
pNuLoCRegion	6...23;58...65
