UniprotID	Q96QB1-1
Accession	Q96QB1;B4DR10;B8PTI0;E9PDZ8;E9PF76;E9PGY9;O14868;O43199;Q7Z5R8;Q86UC6;Q9C0E0;Q9H7A2
EntryName	RHG07_HUMAN
ProteinName	Rho GTPase-activating protein 7 (Deleted in liver cancer 1 protein) (DLC-1) (HP protein) (Rho-type GTPase-activating protein 7) (START domain-containing protein 12) (StARD12) (StAR-related lipid transfer protein 12)
GeneName	DLC1 ARHGAP7 KIAA1723 STARD12
Length	1091
Function	Functions as a GTPase-activating protein for the small GTPases RHOA, RHOB, RHOC and CDC42, terminating their downstream signaling. This induces morphological changes and detachment through cytoskeletal reorganization, playing a critical role in biological processes such as cell migration and proliferation. Also functions in vivo as an activator of the phospholipase PLCD1. Active DLC1 increases cell migration velocity but reduces directionality. Required for growth factor-induced epithelial cell migration; in resting cells, interacts with TNS3 while PTEN interacts with the p85 regulatory subunit of the PI3K kinase complex but growth factor stimulation induces phosphorylation of TNS3 and PTEN, causing them to change their binding preference so that PTEN interacts with DLC1 and TNS3 interacts with p85 (PubMed:26166433). The PTEN-DLC1 complex translocates to the posterior of migrating cells to activate RHOA while the TNS3-p85 complex translocates to the leading edge of migrating cells to promote RAC1 activation (PubMed:26166433).
Subcellular Location	Cytoplasm; Cell junction; Focal adhesion; Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.949744
pNuLoCRegion	1...20;80...96;112...130;293...297
