UniprotID	Q8ND30-3
Accession	Q8ND30;B7Z433;E9PK77;O75337;Q8WW26
EntryName	LIPB2_HUMAN
ProteinName	Liprin-beta-2 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein-binding protein 2) (PTPRF-interacting protein-binding protein 2)
GeneName	PPFIBP2
Length	733
Function	May regulate the disassembly of focal adhesions. Did not bind receptor-like tyrosine phosphatases type 2A.
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.28645244
pNuLoCRegion	
