UniprotID	Q86VS3-2
Accession	Q86VS3;A8K8W3;C9JPR6;D6RJ88;Q4G0S6;Q8NEH9;Q9BWX2;Q9H9Y1;Q9UF88
EntryName	IQCH_HUMAN
ProteinName	IQ domain-containing protein H (Testis development protein NYD-SP5)
GeneName	IQCH
Length	684
Function	May play a regulatory role in spermatogenesis.
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.22711232
pNuLoCRegion	90...104
