UniprotID	Q6DN90-3
Accession	Q6DN90;A0A087WWK8;O94863;Q96D85
EntryName	IQEC1_HUMAN
ProteinName	IQ motif and SEC7 domain-containing protein 1 (ADP-ribosylation factors guanine nucleotide-exchange protein 100) (ADP-ribosylation factors guanine nucleotide-exchange protein 2) (Brefeldin-resistant Arf-GEF 2 protein) (BRAG2)
GeneName	IQSEC1 ARFGEP100 BRAG2 KIAA0763
Length	1114
Function	Guanine nucleotide exchange factor for ARF1 and ARF6 (PubMed:11226253, PubMed:24058294). Guanine nucleotide exchange factor activity is enhanced by lipid binding (PubMed:24058294). Accelerates GTP binding by ARFs of all three classes. Guanine nucleotide exchange protein for ARF6, mediating internalization of beta-1 integrin (PubMed:16461286). Involved in neuronal development (Probable). In neurons, plays a role in the control of vesicle formation by endocytoc cargo. Upon long term depression, interacts with GRIA2 and mediates the activation of ARF6 to internalize synaptic AMPAR receptors (By similarity).
Subcellular Location	Cytoplasm; Nucleus; Postsynaptic density; Cytoplasmic vesicle; Secretory vesicle; Synaptic vesicle
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8033903
pNuLoCRegion	1...25;62...73;98...105
