UniprotID	Q9UJU3-2
Accession	Q9UJU3;A4FU53;Q9HCA7
EntryName	ZN112_HUMAN
ProteinName	Zinc finger protein 112 (Zfp-112) (Zinc finger protein 228)
GeneName	ZNF112 ZFP112 ZNF228
Length	907
Function	May be involved in transcriptional regulation.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.96960527
pNuLoCRegion	6...24;90...97
