UniprotID	Q7Z4H7-3
Accession	Q7Z4H7;B3KPK4;B4DX82;Q05CG1;Q14CB6;Q14CD9;Q2TA91;Q6IQ10;Q6NZX5;Q8IZQ4;Q96FN0;Q9H950;Q9H998;Q9HCJ8;Q9NXT8
EntryName	HAUS6_HUMAN
ProteinName	HAUS augmin-like complex subunit 6
GeneName	HAUS6 DGT6 FAM29A KIAA1574
Length	920
Function	Contributes to mitotic spindle assembly, maintenance of centrosome integrity and completion of cytokinesis as part of the HAUS augmin-like complex. Promotes the nucleation of microtubules from the spindle through recruitment of NEDD1 and gamma-tubulin.
Subcellular Location	Cytoplasm; Cytoskeleton; Cytoplasm; Cytoskeleton; Spindle; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.3237922
pNuLoCRegion	
