UniprotID	Q6ZMZ3-2
Accession	Q6ZMZ3;A6H8H3;Q86SX5;Q8N7G8
EntryName	SYNE3_HUMAN
ProteinName	Nesprin-3 (KASH domain-containing protein 3) (KASH3) (Nuclear envelope spectrin repeat protein 3)
GeneName	SYNE3 C14orf139 C14orf49 LINC00341
Length	970
Function	As a component of the LINC (LInker of Nucleoskeleton and Cytoskeleton) complex involved in the connection between the nuclear lamina and the cytoskeleton. The nucleocytoplasmic interactions established by the LINC complex play an important role in the transmission of mechanical forces across the nuclear envelope and in nuclear movement and positioning. Probable anchoring protein which tethers the nucleus to the cytoskeleton by binding PLEC which can associate with the intermediate filament system. Plays a role in the regulation of aortic epithelial cell morphology, and is required for flow-induced centrosome polarization and directional migration in aortic endothelial cells.
Subcellular Location	Nucleus outer membrane; Nucleus envelope; Rough endoplasmic reticulum
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.78633344
pNuLoCRegion	5...9;191...210;222...235;271...281
