UniprotID	Q9Y5I1-2
Accession	Q9Y5I1;B2RN58;O75279
EntryName	PCDAB_HUMAN
ProteinName	Protocadherin alpha-11 (PCDH-alpha-11)
GeneName	PCDHA11 CNRS7
Length	810
Function	Potential calcium-dependent cell-adhesion protein. May be involved in the establishment and maintenance of specific neuronal connections in the brain.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.027943544
pNuLoCRegion	35...35
