UniprotID	Q9UPP1-4
Accession	Q9UPP1;B3KMV4;B7Z911;Q5H9U5;Q5JPR9;Q5JPS0;Q5JPS2;Q5JPS3;Q5VUJ4;Q7Z6D4;Q9HAH2
EntryName	PHF8_HUMAN
ProteinName	Histone lysine demethylase PHF8 (EC 1.14.11.27) (EC 1.14.11.65) (PHD finger protein 8) ([histone H3]-dimethyl-L-lysine(36) demethylase PHF8) ([histone H3]-dimethyl-L-lysine(9) demethylase PHF8)
GeneName	PHF8 KIAA1111 ZNF422
Length	948
Function	Histone lysine demethylase with selectivity for the di- and monomethyl states that plays a key role cell cycle progression, rDNA transcription and brain development. Demethylates mono- and dimethylated histone H3 'Lys-9' residue (H3K9Me1 and H3K9Me2), dimethylated H3 'Lys-27' (H3K27Me2) and monomethylated histone H4 'Lys-20' residue (H4K20Me1). Acts as a transcription activator as H3K9Me1, H3K9Me2, H3K27Me2 and H4K20Me1 are epigenetic repressive marks. Involved in cell cycle progression by being required to control G1-S transition. Acts as a coactivator of rDNA transcription, by activating polymerase I (pol I) mediated transcription of rRNA genes. Required for brain development, probably by regulating expression of neuron-specific genes. Only has activity toward H4K20Me1 when nucleosome is used as a substrate and when not histone octamer is used as substrate. May also have weak activity toward dimethylated H3 'Lys-36' (H3K36Me2), however, the relevance of this result remains unsure in vivo. Specifically binds trimethylated 'Lys-4' of histone H3 (H3K4me3), affecting histone demethylase specificity: has weak activity toward H3K9Me2 in absence of H3K4me3, while it has high activity toward H3K9me2 when binding H3K4me3. Positively modulates transcription of histone demethylase KDM5C, acting synergistically with transcription factor ARX; synergy may be related to enrichment of histone H3K4me3 in regulatory elements.
Subcellular Location	Nucleus; Nucleus; Nucleolus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8223882
pNuLoCRegion	51...68;133...142
