UniprotID	Q86SJ6-2
Accession	Q86SJ6;A2RUI1;Q6Y9L9;Q8IXV4
EntryName	DSG4_HUMAN
ProteinName	Desmoglein-4 (Cadherin family member 13)
GeneName	DSG4 CDHF13
Length	1059
Function	A component of desmosome cell-cell junctions which are required for positive regulation of cellular adhesion (By similarity). Coordinates the transition from proliferation to differentiation in hair follicle keratinocytes (By similarity). Plays a role in moderating lymphocyte migration to inflamed skin and maintaining homeostasis of the epidermal inflammatory response (By similarity).
Subcellular Location	Cell membrane; Cell junction; Desmosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.0044024633
pNuLoCRegion	
