UniprotID	Q6ZW05-3
Accession	Q6ZW05;A0A0A7EN49;B0QZ29;B2RPC0;B4DRK3;B4DTR9;Q5T884
EntryName	PTHD4_HUMAN
ProteinName	Patched domain-containing protein 4 (p53-regulated patched protein)
GeneName	PTCHD4 C6orf138 PTCH53
Length	843
Function	Could act as a repressor of canonical hedgehog signaling by antagonizing the effects of SMO, as suggested by down-regulation of hedgehog target genes, including GLI1, PTCH1, and PTCH2 in PTCHD4-expressing cells.
Subcellular Location	Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.0145112835
pNuLoCRegion	
