UniprotID	Q86XP1-2
Accession	Q86XP1;A2A2W7;A6NFX7;B4DZ34;Q5VZW0;Q6PI56;Q86XP2;Q8N3N0;Q8N7J9
EntryName	DGKH_HUMAN
ProteinName	Diacylglycerol kinase eta (DAG kinase eta) (EC 2.7.1.107) (Diglyceride kinase eta) (DGK-eta)
GeneName	DGKH
Length	1164
Function	Diacylglycerol kinase that converts diacylglycerol/DAG into phosphatidic acid/phosphatidate/PA and regulates the respective levels of these two bioactive lipids (PubMed:12810723, PubMed:23949095). Thereby, acts as a central switch between the signaling pathways activated by these second messengers with different cellular targets and opposite effects in numerous biological processes (Probable) (PubMed:12810723, PubMed:23949095). Plays a key role in promoting cell growth (PubMed:19710016). Activates the Ras/B-Raf/C-Raf/MEK/ERK signaling pathway induced by EGF (PubMed:19710016). Regulates the recruitment of RAF1 and BRAF from cytoplasm to membranes and their heterodimerization (PubMed:19710016).
Subcellular Location	Cytoplasm; Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7019041
pNuLoCRegion	29...44;142...164;191...203
