UniprotID	Q9NS40-2
Accession	Q9NS40;Q53QU4;Q53TB7;Q53TP9;Q8IV15
EntryName	KCNH7_HUMAN
ProteinName	Voltage-gated inwardly rectifying potassium channel KCNH7 (Ether-a-go-go-related gene potassium channel 3) (ERG-3) (Eag-related protein 3) (Ether-a-go-go-related protein 3) (hERG-3) (Potassium voltage-gated channel subfamily H member 7) (Voltage-gated potassium channel subunit Kv11.3)
GeneName	KCNH7 ERG3
Length	732
Function	Pore-forming (alpha) subunit of voltage-gated inwardly rectifying potassium channel (PubMed:32723862). Exhibits faster activation and deactivation kinetics and slow inactivation at membrane potentials positive to 240 mV, resulting in the weakest inward rectification (PubMed:32723862).
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.018456822
pNuLoCRegion	243...262
