UniprotID	Q9NZ71-2
Accession	Q9NZ71;A2A397;A2A398;B4DRM5;B4DYM3;B4E3N6;E1P5J4;E1P5J5;Q5JTV3;Q5JTV4;Q9BW37;Q9H402;Q9H4X6;Q9NX25;Q9NZ73;Q9UPR4;Q9Y4R6
EntryName	RTEL1_HUMAN
ProteinName	Regulator of telomere elongation helicase 1 (EC 5.6.2.-) (Novel helicase-like)
GeneName	RTEL1 C20orf41 KIAA1088 NHL
Length	1400
Function	A probable ATP-dependent DNA helicase implicated in telomere-length regulation, DNA repair and the maintenance of genomic stability. Acts as an anti-recombinase to counteract toxic recombination and limit crossover during meiosis. Regulates meiotic recombination and crossover homeostasis by physically dissociating strand invasion events and thereby promotes noncrossover repair by meiotic synthesis dependent strand annealing (SDSA) as well as disassembly of D loop recombination intermediates. Also disassembles T loops and prevents telomere fragility by counteracting telomeric G4-DNA structures, which together ensure the dynamics and stability of the telomere.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.90509814
pNuLoCRegion	28...33;261...270;552...577
