UniprotID	Q8IZP9-4
Accession	Q8IZP9;B1AWB3;B1AWB4;B1AWB6;B1AWB7;O00406;Q14CE0;Q8IWT2;Q8IZE4;Q8IZE5;Q8IZE6;Q8IZE7;Q8IZP3;Q8IZP4
EntryName	AGRG2_HUMAN
ProteinName	Adhesion G-protein coupled receptor G2 (G-protein coupled receptor 64) (Human epididymis-specific protein 6) (He6)
GeneName	ADGRG2 GPR64 HE6 TM7LN2
Length	1003
Function	Orphan receptor. Could be involved in a signal transduction pathway controlling epididymal function and male fertility. May regulate fluid exchange within epididymis.
Subcellular Location	Apical cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.006474072
pNuLoCRegion	
