UniprotID	Q9NYC9-3
Accession	Q9NYC9;A2VCQ8;O15064;O95494;Q9NQ28
EntryName	DYH9_HUMAN
ProteinName	Dynein axonemal heavy chain 9 (Axonemal beta dynein heavy chain 9) (Ciliary dynein heavy chain 9)
GeneName	DNAH9 DNAH17L DNEL1 KIAA0357
Length	798
Function	Force generating protein required for cilia beating in respiratory epithelia (PubMed:30471717, PubMed:30471718). Produces force towards the minus ends of microtubules. Dynein has ATPase activity; the force-producing power stroke is thought to occur on release of ADP.
Subcellular Location	Cytoplasm; Cytoskeleton; Cilium axoneme
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.2523845
pNuLoCRegion	
