UniprotID	Q14BN4-3
Accession	Q14BN4;Q14C95;Q6AI54;Q6UXC9;Q6ZVQ8;Q8NCW9;Q9H297;Q9HCH1;Q9Y681
EntryName	SLMAP_HUMAN
ProteinName	Sarcolemmal membrane-associated protein (Sarcolemmal-associated protein)
GeneName	SLMAP KIAA1601 SLAP UNQ1847/PRO3577
Length	811
Function	Associates with the striatin-interacting phosphatase and kinase (STRIPAK) core complex, forming the extended (SIKE1:SLMAP)STRIPAK complex (PubMed:29063833, PubMed:30622739). The (SIKE1:SLMAP)STRIPAK complex dephosphorylates STK3 leading to the inhibition of Hippo signaling and the control of cell growth (PubMed:29063833, PubMed:30622739). May play a role during myoblast fusion (By similarity).
Subcellular Location	Cell membrane; Sarcolemma; Cytoplasm; Myofibril; Sarcomere; M line; Cytoplasm; Myofibril; Sarcomere; Z line; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Endoplasmic reticulum membrane; Mitochondrion membrane; Endoplasmic reticulum membrane; Mitochondrion membrane; Endoplasmic reticulum membrane; Mitochondrion membrane; Endoplasmic reticulum membrane; Mitochondrion membrane; Endoplasmic reticulum membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.1635778
pNuLoCRegion	53...75
