UniprotID	Q9BU23-2
Accession	Q9BU23;A6NEZ0;Q13392;Q6ZNR2;Q8WU74;Q96C62
EntryName	LMF2_HUMAN
ProteinName	Lipase maturation factor 2 (Transmembrane protein 112B) (Transmembrane protein 153)
GeneName	LMF2 TMEM112B TMEM153
Length	682
Function	Involved in the maturation of specific proteins in the endoplasmic reticulum. May be required for maturation and transport of active lipoprotein lipase (LPL) through the secretory pathway (By similarity).
Subcellular Location	Endoplasmic reticulum membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.02028216
pNuLoCRegion	
