UniprotID	Q9Y4B5-3
Accession	Q9Y4B5;E9PAY7;Q6ZMQ9;Q8IWA9
EntryName	MTCL1_HUMAN
ProteinName	Microtubule cross-linking factor 1 (Coiled-coil domain-containing protein 165) (PAR-1-interacting protein) (SOGA family member 2)
GeneName	MTCL1 CCDC165 KIAA0802 SOGA2
Length	1586
Function	Microtubule-associated factor involved in the late phase of epithelial polarization and microtubule dynamics regulation (PubMed:23902687). Plays a role in the development and maintenance of non-centrosomal microtubule bundles at the lateral membrane in polarized epithelial cells (PubMed:23902687). Required for faithful chromosome segregation during mitosis (PubMed:33587225).
Subcellular Location	Lateral cell membrane; Apical cell membrane; Cytoplasm; Cytoskeleton; Spindle pole; Midbody; Cytoplasm; Cytoskeleton
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6915328
pNuLoCRegion	6...17;43...53;94...97
