UniprotID	Q8IV33-3
Accession	Q8IV33;A0A088AWM3;O94914;Q6ZNN2
EntryName	K0825_HUMAN
ProteinName	Uncharacterized protein KIAA0825
GeneName	KIAA0825 C5orf36
Length	938
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.807947
pNuLoCRegion	5...5;8...9;22...35;59...85
