UniprotID	Q68D51-3
Accession	Q68D51;B1AL26;Q5TCX6;Q6P3R3
EntryName	DEN2C_HUMAN
ProteinName	DENN domain-containing protein 2C
GeneName	DENND2C
Length	871
Function	Guanine nucleotide exchange factor (GEF) which may activate RAB9A and RAB9B. Promotes the exchange of GDP to GTP, converting inactive GDP-bound Rab proteins into their active GTP-bound form.
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.28555378
pNuLoCRegion	
