UniprotID	Q9UIF8-4
Accession	Q9UIF8;D3DPA8;Q96EA1;Q96SQ8;Q9P252;Q9Y4N8
EntryName	BAZ2B_HUMAN
ProteinName	Bromodomain adjacent to zinc finger domain protein 2B (hWALp4)
GeneName	BAZ2B KIAA1476
Length	1972
Function	Regulatory subunit of the ATP-dependent BRF-1 and BRF-5 ISWI chromatin remodeling complexes, which form ordered nucleosome arrays on chromatin and facilitate access to DNA during DNA-templated processes such as DNA replication, transcription, and repair (PubMed:28801535). Both complexes regulate the spacing of nucleosomes along the chromatin and have the ability to slide mononucleosomes to the center of a DNA template (PubMed:28801535). The BRF-1 ISWI chromatin remodeling complex has a lower ATP hydrolysis rate than the BRF-5 ISWI chromatin remodeling complex (PubMed:28801535). Chromatin reader protein, which may play a role in transcriptional regulation via interaction with ISWI (By similarity) (PubMed:10662543). Involved in positively modulating the rate of age-related behavioral deterioration (By similarity). Represses the expression of mitochondrial function-related genes, perhaps by occupying their promoter regions, working in concert with histone methyltransferase EHMT1 (By similarity).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9649397
pNuLoCRegion	32...61;539...553;650...685;812...825;1091...1108;1868...1879;1898...1917;1940...1954
