UniprotID	Q96RN1-2
Accession	Q96RN1;Q5JVR5;Q812C7;Q8TC65;Q96MA0;Q96PK8
EntryName	S26A8_HUMAN
ProteinName	Testis anion transporter 1 (Anion exchange transporter) (Solute carrier family 26 member 8)
GeneName	SLC26A8 TAT1
Length	865
Function	Antiporter that mediates the exchange of sulfate and oxalate against chloride ions across a membrane (PubMed:11278976, PubMed:11834742). Stimulates anion transport activity of CFTR (PubMed:22121115, PubMed:23582645). May cooperate with CFTR in the regulation of chloride and bicarbonate ions fluxes required for activation of the ADCY10/PKA pathway during sperm motility and sperm capacitation (By similarity). May play a role in sperm tail differentiation and motility and hence male fertility (By similarity).
Subcellular Location	Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.08102795
pNuLoCRegion	24...39
