UniprotID	Q8NB25-2
Accession	Q8NB25;B9DI75;F8W8D6;Q5TBS9;Q7Z323;Q96GY8;Q9H0J8;Q9H851
EntryName	F184A_HUMAN
ProteinName	Protein FAM184A
GeneName	FAM184A C6orf60
Length	1056
Function	
Subcellular Location	Cytoplasm; P-body; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Centriolar satellite
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7371017
pNuLoCRegion	5...38
