UniprotID	Q9UBD5-2
Accession	Q9UBD5;A2A2T5;B4E025;Q13565;Q53GY6;Q5T159;Q6IUY7;Q86TN5;Q9UG44;Q9UNT6
EntryName	ORC3_HUMAN
ProteinName	Origin recognition complex subunit 3 (Origin recognition complex subunit Latheo)
GeneName	ORC3 LATHEO ORC3L
Length	712
Function	Component of the origin recognition complex (ORC) that binds origins of replication. DNA-binding is ATP-dependent. The specific DNA sequences that define origins of replication have not been identified yet. ORC is required to assemble the pre-replication complex necessary to initiate DNA replication. Binds histone H3 and H4 trimethylation marks H3K9me3, H3K27me3 and H4K20me3.
Subcellular Location	Nucleus; Chromosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.97749674
pNuLoCRegion	5...32;50...72
