UniprotID	Q9BVN2-4
Accession	Q9BVN2;B3KWM9;Q5T9U9;Q5T9V0;Q5T9V1;Q5T9V2;Q9UPY4;Q9Y4T5
EntryName	RUSC1_HUMAN
ProteinName	AP-4 complex accessory subunit RUSC1 (New molecule containing SH3 at the carboxy-terminus) (Nesca) (RUN and SH3 domain-containing protein 1)
GeneName	RUSC1 NESCA
Length	796
Function	Associates with the adapter-like complex 4 (AP-4) and may therefore play a role in vesicular trafficking of proteins at the trans-Golgi network (PubMed:30262884). Signaling adapter which plays a role in neuronal differentiation (PubMed:15024033). Involved in regulation of NGF-dependent neurite outgrowth (PubMed:15024033). May play a role in neuronal vesicular trafficking, specifically involving pre-synaptic membrane proteins (By similarity). Seems to be involved in signaling pathways that are regulated by the prolonged activation of MAPK (PubMed:15024033). Can regulate the polyubiquitination of IKBKG and thus may be involved in regulation of the NF-kappa-B pathway (PubMed:19365808).
Subcellular Location	Cytoplasm; Nucleus; Cytoplasm; Cytoskeleton; Cytoplasmic vesicle; Early endosome; Postsynaptic density; Golgi apparatus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.80167055
pNuLoCRegion	18...43;175...178;315...331;345...363;392...415
