UniprotID	Q9Y5W7-3
Accession	Q9Y5W7;B4DI55;Q4VBR3;Q5TCF9;Q5TCG0;Q6NUI7;Q6PI37;Q9BSD1
EntryName	SNX14_HUMAN
ProteinName	Sorting nexin-14
GeneName	SNX14
Length	894
Function	Plays a role in maintaining normal neuronal excitability and synaptic transmission. May be involved in several stages of intracellular trafficking (By similarity). Required for autophagosome clearance, possibly by mediating the fusion of lysosomes with autophagosomes (Probable). Binds phosphatidylinositol 3,5-bisphosphate (PtdIns(3,5)P2), a key component of late endosomes/lysosomes (PubMed:25848753). Does not bind phosphatidylinositol 3-phosphate (PtdIns(3P)) (PubMed:25148684, PubMed:25848753).
Subcellular Location	Lysosome membrane; Late endosome membrane; Cell projection; Dendrite
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.09387165
pNuLoCRegion	
