UniprotID	Q70EL1-7
Accession	Q70EL1;A1L4Q4;A3KFK3;A3KFK5;A3KFK6;A3KFK7;A6PVS4;A6PVS5;A6PVS6;A6PVS7;B3KVY1;B9ZVM1;Q5F2F4;Q6P1N6;Q6ZSP1;Q6ZSR1;Q6ZTM0;Q8N1X2
EntryName	UBP54_HUMAN
ProteinName	Ubiquitin carboxyl-terminal hydrolase 54 (EC 3.4.19.12) (Ubiquitin-specific peptidase 54)
GeneName	USP54 C10orf29
Length	1534
Function	Deubiquitinase that specifically mediates 'Lys-63'-linked deubiquitination of substrates with a polyubiquitin chain composed of at least 3 ubiquitins (PubMed:39587316). Specifically recognizes ubiquitin chain in position S2 and catalyzes cleavage of polyubiquitin within 'Lys-63'-linked chains (PubMed:39587316). Not able to deubiquitinate substrates with shorter ubiquitin chains (PubMed:39587316). Mediates deubiquitination of PLK4, maintaining PLK4 stability by reducing its ubiquitination-mediated degradation (PubMed:36590171).
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5365163
pNuLoCRegion	18...20
