UniprotID	Q9UHL9-2
Accession	Q9UHL9;O95444;Q6DSU6;Q75MX7;Q86UM3;Q8WVC4;Q9UHK8;Q9UI91
EntryName	GT2D1_HUMAN
ProteinName	General transcription factor II-I repeat domain-containing protein 1 (GTF2I repeat domain-containing protein 1) (General transcription factor III) (MusTRD1/BEN) (Muscle TFII-I repeat domain-containing protein 1) (Slow-muscle-fiber enhancer-binding protein) (USE B1-binding protein) (Williams-Beuren syndrome chromosomal region 11 protein) (Williams-Beuren syndrome chromosomal region 12 protein)
GeneName	GTF2IRD1 CREAM1 GTF3 MUSTRD1 RBAP2 WBSCR11 WBSCR12
Length	944
Function	May be a transcription regulator involved in cell-cycle progression and skeletal muscle differentiation. May repress GTF2I transcriptional functions, by preventing its nuclear residency, or by inhibiting its transcriptional activation. May contribute to slow-twitch fiber type specificity during myogenesis and in regenerating muscles. Binds troponin I slow-muscle fiber enhancer (USE B1). Binds specifically and with high affinity to the EFG sequences derived from the early enhancer of HOXC8 (By similarity).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.81873864
pNuLoCRegion	56...65;879...906
