UniprotID	Q9Y4C0-4
Accession	Q9Y4C0;A6NGR4;A7MD34;O95378;Q8IUE3;Q9NS47;Q9P1V3;Q9P1V6;Q9UIE2;Q9UIE3;Q9ULA5;Q9Y486
EntryName	NRX3A_HUMAN
ProteinName	Neurexin-3 (Neurexin III-alpha) (Neurexin-3-alpha)
GeneName	NRXN3 C14orf60 KIAA0743
Length	1392
Function	Neuronal cell surface protein that may be involved in cell recognition and cell adhesion. May mediate intracellular signaling (By similarity).
Subcellular Location	Presynaptic cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.042308494
pNuLoCRegion	
