UniprotID	Q8N5H7-5
Accession	Q8N5H7;A8K5S8;E9PG48;Q5HYE5;Q5JU31;Q6UY42;Q8N6X3;Q9Y2X5
EntryName	SH2D3_HUMAN
ProteinName	SH2 domain-containing protein 3C (Cas/HEF1-associated signal transducer) (Chat-H) (Novel SH2-containing protein 3) (SH2 domain-containing Eph receptor-binding protein 1) (SHEP1)
GeneName	SH2D3C NSP3 UNQ272/PRO309/PRO34088
Length	702
Function	Acts as an adapter protein that mediates cell signaling pathways involved in cellular functions such as cell adhesion and migration, tissue organization, and the regulation of the immune response (PubMed:12432078, PubMed:20881139). Plays a role in integrin-mediated cell adhesion through BCAR1-CRK-RAPGEF1 signaling and activation of the small GTPase RAP1 (PubMed:12432078). Promotes cell migration and invasion through the extracellular matrix (PubMed:20881139). Required for marginal zone B-cell development and thymus-independent type 2 immune responses (By similarity). Mediates migration and adhesion of B cells in the splenic marginal zone via promoting hyperphosphorylation of NEDD9/CASL (By similarity). Plays a role in CXCL13-induced chemotaxis of B-cells (By similarity). Plays a role in the migration of olfactory sensory neurons (OSNs) into the forebrain and the innervation of the olfactory bulb by the OSN axons during development (By similarity). Required for the efficient tyrosine phosphorylation of BCAR1 in OSN axons (By similarity).
Subcellular Location	Cytoplasm; Cell membrane; Cell projection; Axon; Cell projection; Ruffle membrane; Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.24628998
pNuLoCRegion	254...257
