UniprotID	Q9HB75-2
Accession	Q9HB75;Q59FD1;Q59H10;Q59HC7;Q7Z4P8;Q8NC89;Q8NDL2;Q96C25;Q9NRE6
EntryName	PIDD1_HUMAN
ProteinName	p53-induced death domain-containing protein 1 (EC 3.4.21.-) (Leucine-rich repeat and death domain-containing protein) [Cleaved into: PIDD-N; PIDD-C; PIDD-CC]
GeneName	PIDD1 LRDD PIDD
Length	893
Function	Component of the DNA damage/stress response pathway that functions downstream of p53/TP53 and can either promote cell survival or apoptosis (PubMed:10973264, PubMed:15073321, PubMed:16360037, PubMed:17159900). Associated with CRADD and the CASP2 caspase, it forms the PIDDosome a complex that activates CASP2 and triggers apoptosis (PubMed:15073321, PubMed:17159900). Associated with IKBKG and RIPK1, it enhances sumoylation and ubiquitination of IKBKG which is important for activation of the transcription factor NF-kappa-B (PubMed:16360037, PubMed:17159900).
Subcellular Location	Cytoplasm; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5564113
pNuLoCRegion	51...72
