UniprotID	Q2TAZ0-3
Accession	Q2TAZ0;O43154;Q14DM2;Q6ZTV2;Q7Z6K8;Q8IVY5;Q8TAI8;Q96HH7
EntryName	ATG2A_HUMAN
ProteinName	Autophagy-related protein 2 homolog A
GeneName	ATG2A KIAA0404
Length	1940
Function	Lipid transfer protein involved in autophagosome assembly (PubMed:28561066, PubMed:30952800, PubMed:31271352). Tethers the edge of the isolation membrane (IM) to the endoplasmic reticulum (ER) and mediates direct lipid transfer from ER to IM for IM expansion (PubMed:30952800, PubMed:31271352). Binds to the ER exit site (ERES), which is the membrane source for autophagosome formation, and extracts phospholipids from the membrane source and transfers them to ATG9 (ATG9A or ATG9B) to the IM for membrane expansion (PubMed:30952800, PubMed:31271352). Lipid transfer activity is enhanced by WIPI1 and WDR45/WIPI4, which promote ATG2A-association with phosphatidylinositol 3-monophosphate (PI3P)-containing membranes (PubMed:31271352). Also regulates lipid droplets morphology and distribution within the cell (PubMed:22219374, PubMed:28561066).
Subcellular Location	Preautophagosomal structure membrane; Lipid droplet; Endoplasmic reticulum membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.09745387
pNuLoCRegion	
