UniprotID	Q8IWW6-2
Accession	Q8IWW6;B1ANY0;B1ANY1;B1ANY2;Q504X1;Q86UB3;Q8IWW7;Q8N3L1;Q9NT76
EntryName	RHG12_HUMAN
ProteinName	Rho GTPase-activating protein 12 (Rho-type GTPase-activating protein 12)
GeneName	ARHGAP12
Length	816
Function	GTPase activator for the Rho-type GTPases by converting them to an inactive GDP-bound state.
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.57299715
pNuLoCRegion	
