UniprotID	Q8NEY8-5
Accession	Q8NEY8;E9PAX8;Q86YT2;Q8IXN3;Q8TB09;Q96NB9;Q9NXL4;Q9P0P6;Q9P0R9
EntryName	PPHLN_HUMAN
ProteinName	Periphilin-1 (CDC7 expression repressor) (CR) (Gastric cancer antigen Ga50)
GeneName	PPHLN1 HSPC206 HSPC232
Length	258
Function	Component of the HUSH complex, a multiprotein complex that mediates epigenetic repression. The HUSH complex is recruited to genomic loci rich in H3K9me3 and is probably required to maintain transcriptional silencing by promoting recruitment of SETDB1, a histone methyltransferase that mediates further deposition of H3K9me3. In the HUSH complex, contributes to the maintenance of the complex at chromatin (PubMed:26022416). Acts as a transcriptional corepressor and regulates the cell cycle, probably via the HUSH complex (PubMed:15474462, PubMed:17963697). The HUSH complex is also involved in the silencing of unintegrated retroviral DNA: some part of the retroviral DNA formed immediately after infection remains unintegrated in the host genome and is transcriptionally repressed (PubMed:30487602). May be involved in epithelial differentiation by contributing to epidermal integrity and barrier formation (PubMed:12853457).
Subcellular Location	Nucleus; Cytoplasm; Chromosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.64505893
pNuLoCRegion	30...32
pNuLoCScore	0.36125682,0.366233255,0.37679867181818183,0.38657461,0.3935367015384615,0.39651956357142853,0.4016354366666666,0.4037345781249999,0.4073239076470587,0.40775767411764696,0.4101613788235294,0.4199035276470588,0.4347264347058823,0.45148677117647057,0.4520422729411764,0.45214311235294113,0.44900804411764705,0.4539565582352941,0.4572719658823529,0.45672220764705884,0.4557394270588236,0.4559214076470588,0.4588569564705883,0.46033677647058824,0.47669136470588236,0.4913361717647059,0.5050228423529411,0.5157850058823529,0.5253637900000001,0.5294925952941177,0.5298687758823529,0.5300551364705882,0.5339688423529413,0.5397831399999999,0.5449094164705881,0.5505065129411764,0.5555523747058823,0.5602958711764705,0.5645504435294119,0.5686772635294117,0.5725243070588236,0.5639733423529413,0.552208865882353,0.5432689023529411,0.5393062888235294,0.5365646399999999,0.5396957194117649,0.5457466217647059,0.5523341082352942,0.5551044552941178,0.5555536141176471,0.5552807758823529,0.5545018794117647,0.5546875647058824,0.5546378376470588,0.5542451670588235,0.5575434147058823,0.5608730947058824,0.564126934117647,0.5680356305882353,0.5703063076470588,0.5717881958823529,0.5736766641176471,0.5759142311764706,0.578001962352941,0.5803212470588235,0.5819873505882351,0.5831323505882351,0.5853045123529409,0.5881106241176469,0.5904540564705882,0.5931696423529412,0.5964456752941177,0.5951361605882354,0.5935689582352941,0.5921953341176471,0.5935224876470591,0.5953163547058824,0.5969403370588237,0.5974242070588235,0.597908101764706,0.5974793135294117,0.5970542229411765,0.597641304117647,0.5988213017647058,0.5991682370588236,0.5991245447058824,0.5986200841176471,0.5967354288235294,0.594863551764706,0.5939556894117648,0.5927644035294118,0.5908729764705882,0.5887490558823529,0.5864802852941177,0.5840088794117646,0.5819091529411765,0.5787732500000001,0.5763006088235294,0.5736953288235296,0.5713055735294117,0.5688370582352941,0.5665807582352941,0.5639120935294116,0.5616061158823529,0.5599700947058824,0.5586054505882353,0.5568601364705881,0.5552462247058824,0.5542708952941177,0.5534384323529411,0.5532619523529412,0.5541060876470588,0.5547039347058824,0.5559094641176471,0.5572834141176471,0.5584217611764706,0.5592768670588235,0.5603497223529411,0.5613893223529413,0.565306024117647,0.5692806564705881,0.570842985882353,0.5707597211764706,0.5707097188235294,0.5725467617647059,0.5745647676470588,0.5769761776470588,0.5788400076470588,0.5801463035294117,0.5817449682352942,0.5839878152941177,0.5858108241176471,0.5879699335294117,0.5896602982352941,0.5915542900000001,0.5932495017647059,0.5926107188235294,0.5917489952941175,0.5939932394117647,0.5977629494117647,0.6015757323529413,0.6030797682352942,0.6041158247058824,0.604752515882353,0.6052600070588235,0.6056406741176471,0.6058449170588235,0.6058970205882354,0.6061310594117647,0.6062284064705882,0.6068897123529411,0.6087105829411765,0.6109002064705882,0.6121434564705882,0.6129151623529412,0.6130930123529412,0.6133424435294118,0.6138764064705883,0.6141348805882354,0.6139515064705883,0.6135433123529412,0.6136081029411764,0.613162684117647,0.6127568117647059,0.612553205882353,0.6122642023529412,0.6116416111764706,0.6108308905882353,0.6087983788235294,0.6062503611764705,0.6048237111764705,0.6038731994117645,0.6034064170588235,0.6029692405882353,0.602362987647059,0.6022754229411768,0.6026798670588237,0.6030492900000001,0.6023242170588236,0.6018226829411766,0.6011985594117646,0.6003401382352941,0.5992620529411765,0.5875053294117647,0.5842356205882354,0.5801335617647059,0.5780272088235294,0.5769162352941176,0.5768331470588235,0.5774544411764706,0.5780916823529412,0.5784246129411764,0.5787461305882352,0.5792969299999999,0.579788994117647,0.5810829547058823,0.5827102664705881,0.58386539,0.5853405488235295,0.5870877635294118,0.5998504252941177,0.60433157,0.6093644964705881,0.6125511023529411,0.6145115847058823,0.615339614117647,0.615349925882353,0.6150863435294118,0.6152759400000001,0.6156261541176472,0.6157746341176472,0.6162500323529413,0.616675504117647,0.6170467394117648,0.6180294864705883,0.6210375041176471,0.6238561570588237,0.6261343923529413,0.6279428217647061,0.6295268835294118,0.6296877835294118,0.6287193482352941,0.6272671364705882,0.6261113423529411,0.6249799517647058,0.6239802282352941,0.6234368494117647,0.6233300141176471,0.623732641764706,0.62442158,0.6250977347058824,0.6258796347058825,0.6242682052941176,0.6230125523529412,0.6219728464705883,0.6212959076470588,0.620730784117647,0.6216578464705882,0.6237678641176471,0.6262804741176471,0.6286952241176471,0.6310293382352943,0.6332063888235295,0.6347690888235294,0.6359244564705883,0.6365352170588237,0.6368010405882354,0.6373996958823531,0.6377750799999999,0.6377205725,0.6374386173333334,0.6373794542857142,0.6373127584615383,0.6374113133333333,0.6375457181818182,0.63756612,0.6378873922222223
pNuLoCDScore	0.046067087647058746,0.046500854117646984,0.0489045588235294,0.058646707647058816,0.07346961470588231,0.09022995117647059,0.0907854529411764,0.09088629235294116,0.08775122411764708,0.08772330323529415,0.08047329406417109,0.07014759764705886,0.0622027255203621,0.05940184407563026,0.05722151980392165,0.05660219834558833,0.06936745705882363,0.08357849764705894,0.09486146352941177,0.09588147823529408,0.09063735529411782,0.07800582411764717,0.07782650294117655,0.07791202411764708,0.08496079823529423,0.08582658176470581,0.08763745058823519,0.09378430529411752,0.09981294764705867,0.10437446352941171,0.10569348705882359,0.10834048705882349,0.09583294235294126,0.07263717058823538,0.047186023529411814,0.027483896470588243,0.01394249882352927,0.007072044705882186,0.009826943529411936,-0.047625013392156884,-0.059531689862745096,-0.06818226927450982,-0.0760178310392157,-0.08412245162745097,-0.08942413162745097,-0.09328994927450981,-0.09493122221568626,-0.09531820986274508,-0.08533079902941174,-0.07672477599465238,-0.07014815527941176,-0.06266212440271493,-0.05528475095378152,-0.049478826560784284,-0.045387749974264646,-0.03841236935294115,-0.023491954647058777,-0.012356221705882298,-0.00193769229411761,0.00771639358823531,0.014055124176470618,0.01980473652941181,0.023780237705882334,0.026405980058823497,0.028946844176470587,0.030772353882352943,0.03179389799999999,0.033143098588235304,0.0333777397647059,0.03423726235294114,0.03558169470588232,0.03371462764705882,0.028907774705882322,0.025777614117647035,0.022209814705882347,0.019810897058823523,0.01907391117647056,0.018161057647058804,0.016125277647058844,0.01380513352941179,0.010966155294117652,0.007955171176470599,0.005971130588235285,0.0045381058823529274,0.002786818235294114,0.00024571176470586376,-0.00241176764705886,-0.005753514117647046,-0.005392655294117671,-0.005740097058823529,-0.006804438823529435,-0.007365765294117643,-0.009101452352941158,-0.011257543529411773,-0.012782628235294136,-0.013759612941176447,-0.014649758235294102,-0.015228141764705855,-0.0162879752941176,-0.01779370117647061,-0.01917453705882352,-0.020120474705882296,-0.02069463235294114,-0.02047608941176471,-0.0189246082352941,-0.01698304705882353,-0.014391908235294126,-0.011722819411764729,-0.009030145882352986,-0.0068889423529411575,-0.004991328823529373,-0.0031507988235293938,-0.0010841429411764525,0.0010595317647058566,0.0034902158823529317,0.005872481176470656,0.008083227058823556,0.010300935882352952,0.012504832941176491,0.016487238823529426,0.019493591764705887,0.020954202941176503,0.022271209411764747,0.02302613117647062,0.024171950000000025,0.025165969411764688,0.026605210588235284,0.027506939411764658,0.028514862941176417,0.029008870588235314,0.02957663588235296,0.02996390941176469,0.030882970588235276,0.03177905588235291,0.03231167235294116,0.030459774705882348,0.02646487117647059,0.023089513529411743,0.020519191176470608,0.017849340588235285,0.014796298823529452,0.01217355235294118,0.009625304705882354,0.007481945882352958,0.005746597058823549,0.004057828235294103,0.0025244470588235146,0.0010138111764705915,-0.0008026558823529262,-0.0027899135294117694,-0.0046342988235293925,-0.005181848235294134,-0.004979581176470599,-0.005102667647058856,-0.005500984705882395,-0.005295171764705925,-0.0054928011764706075,-0.0055497782352941505,-0.005578475294117646,-0.005618149411764695,-0.006351512941176446,-0.007067105882352931,-0.007687255882352917,-0.008469391764705847,-0.008981147058823524,-0.009369414705882317,-0.009733009999999986,-0.01072575176470586,-0.01105210588235292,-0.009463908235294083,-0.007353541176470579,-0.006043139411764681,-0.00549424411764704,-0.004790434117647013,-0.0044687082352941054,-0.004341147058823519,-0.004155963529411749,-0.003975992352941188,-0.003598387647058887,-0.0034288700000000005,-0.003178469999999989,-0.0030909588235293883,-0.0029262105882353062,9.968352941178149e-05,0.0030873347058823775,0.003765376470588222,0.0036652299999999916,0.003836664705882342,0.005016943529411733,0.006499690000000002,0.008281341176470558,0.009834373529411716,0.011706221176470522,0.013876291176470545,0.015974258823529403,0.018186755294117618,0.020218642941176396,0.02212230999999995,0.02379807411764706,0.022289170588235263,0.018385048235294077,0.015756505882352945,0.014301305294117661,0.01308729941176473,0.011899341176470568,0.010479724117646999,0.00890109647058826,0.007736813529411746,0.006925915294117679,0.005764404705882381,0.004285482941176533,0.0030468999999999913,0.0015769329411764732,0.00036389235294118083,-0.0009013482352941415,-0.006035877058823552,-0.007563122941176503,-0.008475045882352955,-0.009844874705882356,-0.011075083529411778,-0.011496082941176433,-0.011685497647058785,-0.011289834705882407,-0.010526835882352897,-0.010254624117647104,-0.009715084705882393,-0.009313813529411824,-0.008740527058823555,-0.008334041764705868,-0.00794866705882355,-0.00753391235294118,-0.002825146470588208,0.005482731764705928,0.012110154705882337,0.01737637411764703,0.021636805882352922,0.024723622941176443,0.026426724705882337,0.02698338470588235,0.026582250588235323,0.025802247058823558,0.024804738235294166,0.023770122830882423,0.02264807007843142,0.021541156260504207,0.020674822036199136,0.01992154862745102,0.019112365721925123,0.014187613352941164,0.009748370326797401,0.006406627385620922,0.0035593797385621018,0.0012001473856209088,-0.0003508284967320141,-0.0013611743790849506,-0.0017402014379085395,-0.0017509302614379108,-0.0016511314379085151
pNuLoCRank	Medium
UniprotNLSRegion	103..109
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	55...61
validnes_region	
nesbase_region	
