UniprotID	Q9NUQ8-2
Accession	Q9NUQ8;A8K241;Q86UA2;Q8NAN1;Q96GS8;Q9H7A8
EntryName	ABCF3_HUMAN
ProteinName	ATP-binding cassette sub-family F member 3
GeneName	ABCF3
Length	703
Function	Displays an antiviral effect against flaviviruses such as west Nile virus (WNV) in the presence of OAS1B.
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7158345
pNuLoCRegion	6...38
