UniprotID	Q9NQS7-2
Accession	Q9NQS7;A8MQD2;Q5Y192
EntryName	INCE_HUMAN
ProteinName	Inner centromere protein
GeneName	INCENP
Length	914
Function	Component of the chromosomal passenger complex (CPC), a complex that acts as a key regulator of mitosis. The CPC complex has essential functions at the centromere in ensuring correct chromosome alignment and segregation and is required for chromatin-induced microtubule stabilization and spindle assembly. Acts as a scaffold regulating CPC localization and activity. The C-terminus associates with AURKB or AURKC, the N-terminus associated with BIRC5/survivin and CDCA8/borealin tethers the CPC to the inner centromere, and the microtubule binding activity within the central SAH domain directs AURKB/C toward substrates near microtubules (PubMed:12925766, PubMed:15316025, PubMed:27332895). The flexibility of the SAH domain is proposed to allow AURKB/C to follow substrates on dynamic microtubules while ensuring CPC docking to static chromatin (By similarity). Activates AURKB and AURKC (PubMed:27332895). Required for localization of CBX5 to mitotic centromeres (PubMed:21346195). Controls the kinetochore localization of BUB1 (PubMed:16760428).
Subcellular Location	Nucleus; Chromosome; Centromere; Cytoplasm; Cytoskeleton; Spindle; Midbody; Chromosome; Centromere; Kinetochore
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6076337
pNuLoCRegion	57...86
