UniprotID	Q63HQ2-4
Accession	Q63HQ2;A8K6D7;Q5U643;Q6P3V1;Q8N124;Q8N197;Q8N7Y0;Q8N8N5;Q8NAL2
EntryName	EGFLA_HUMAN
ProteinName	Pikachurin (Agrin-like protein) (EGF-like, fibronectin type-III and laminin G-like domain-containing protein)
GeneName	EGFLAM AGRINL AGRNL PIKA
Length	775
Function	Involved in both the retinal photoreceptor ribbon synapse formation and physiological functions of visual perception. Plays a key role in the synaptic organization of photoreceptors by mediating transsynaptic interaction between alpha-dystroglycan and GPR179 on the postsynaptic membrane. Necessary for proper bipolar dendritic tip apposition to the photoreceptor ribbon synapse. Promotes matrix assembly and cell adhesiveness.
Subcellular Location	Secreted; Extracellular space; Extracellular matrix; Synaptic cleft; Presynaptic active zone
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7643122
pNuLoCRegion	19...36;143...161;570...579
