UniprotID	Q8NFU1
Accession	Q8NFU1;Q53YQ8;Q9NXP0
EntryName	BEST2_HUMAN
ProteinName	Bestrophin-2a (Vitelliform macular dystrophy 2-like protein 1)
GeneName	BEST2 VMD2L1
Length	509
Function	Ligand-gated anion channel that allows the movement of anions across cell membranes when activated by calcium (Ca2+) (PubMed:11904445, PubMed:18400985, PubMed:32251414, PubMed:35789156, PubMed:36289327). Transports a large specter of anions, namely mediates the movement of chloride, L-glutamate and iodide (PubMed:11904445, PubMed:18400985, PubMed:32251414, PubMed:35789156, PubMed:36289327). Calcium-binding triggers the dilation of the aperture, but calcium-dependent gating is only effective when the size of the passing anion is bigger than the closed aperture (By similarity). Mediates the calcium-activated hydrogencarbonate movement and participates in colonic hydrogencarbonate secretion concomitant with mucin secretion (By similarity). In non-pigmented epithelium (NPE), mediates the efflux of intracellular L-glutamate; binding of intracellular L-glutamate activates and open both the neck and the aperture of the channel, leading to L-glutamate exit promoting chloride influx movement from the extracellular side in trans (PubMed:36289327). Also exhibits a directional permeability for intracellular glutamine, in a similar manner as for L-glutamate (PubMed:36289327).
Subcellular Location	Cell membrane; Basolateral cell membrane
Disorder	0.0218,0.0194,0.0281,0.0111,0.0148,0.0191,0.0100,0.0120,0.0160,0.0113,0.0090,0.0080,0.0056,0.0050,0.0049,0.0070,0.0066,0.0056,0.0040,0.0052,0.0045,0.0032,0.0025,0.0025,0.0042,0.0032,0.0023,0.0028,0.0018,0.0013,0.0017,0.0015,0.0015,0.0018,0.0024,0.0016,0.0016,0.0014,0.0017,0.0017,0.0017,0.0016,0.0017,0.0018,0.0019,0.0019,0.0026,0.0036,0.0046,0.0072,0.0072,0.0047,0.0078,0.0119,0.0099,0.0088,0.0089,0.0064,0.0058,0.0067,0.0100,0.0069,0.0099,0.0136,0.0143,0.0089,0.0092,0.0071,0.0070,0.0046,0.0037,0.0038,0.0057,0.0037,0.0026,0.0029,0.0037,0.0038,0.0042,0.0042,0.0043,0.0042,0.0040,0.0032,0.0032,0.0044,0.0044,0.0030,0.0029,0.0025,0.0040,0.0037,0.0054,0.0055,0.0074,0.0075,0.0082,0.0061,0.0066,0.0066,0.0074,0.0070,0.0073,0.0085,0.0134,0.0136,0.0133,0.0240,0.0473,0.0780,0.1092,0.0929,0.0948,0.0424,0.0405,0.0531,0.1028,0.0780,0.0929,0.1424,0.1206,0.1229,0.1229,0.0631,0.0985,0.0817,0.0518,0.0281,0.0157,0.0097,0.0099,0.0097,0.0076,0.0105,0.0184,0.0151,0.0107,0.0065,0.0092,0.0113,0.0070,0.0111,0.0141,0.0091,0.0143,0.0143,0.0120,0.0119,0.0209,0.0294,0.0543,0.0231,0.0181,0.0287,0.0300,0.0306,0.0433,0.0690,0.1528,0.1528,0.0704,0.1671,0.1583,0.0870,0.1702,0.1583,0.1611,0.1399,0.2193,0.2094,0.1554,0.0799,0.1137,0.1731,0.1028,0.0631,0.0275,0.0123,0.0120,0.0127,0.0086,0.0125,0.0099,0.0096,0.0123,0.0115,0.0119,0.0133,0.0223,0.0205,0.0120,0.0202,0.0433,0.0780,0.0646,0.0909,0.0799,0.1554,0.1881,0.1162,0.0592,0.1206,0.1583,0.1162,0.1206,0.0985,0.0433,0.0424,0.0389,0.0389,0.0240,0.0443,0.0327,0.0174,0.0091,0.0090,0.0072,0.0104,0.0070,0.0069,0.0093,0.0100,0.0105,0.0070,0.0076,0.0053,0.0068,0.0111,0.0085,0.0066,0.0067,0.0064,0.0058,0.0050,0.0050,0.0073,0.0056,0.0051,0.0038,0.0047,0.0051,0.0039,0.0037,0.0034,0.0044,0.0058,0.0052,0.0039,0.0039,0.0053,0.0060,0.0061,0.0084,0.0068,0.0093,0.0153,0.0148,0.0275,0.0327,0.0662,0.0433,0.0424,0.0483,0.1092,0.0592,0.0263,0.0258,0.0313,0.0306,0.0306,0.0127,0.0088,0.0057,0.0042,0.0050,0.0051,0.0036,0.0027,0.0026,0.0028,0.0025,0.0036,0.0046,0.0044,0.0031,0.0043,0.0070,0.0047,0.0064,0.0095,0.0097,0.0198,0.0473,0.1162,0.0948,0.1373,0.1399,0.2541,0.2224,0.1449,0.1275,0.1702,0.1449,0.1476,0.1229,0.2164,0.1349,0.1092,0.1643,0.0967,0.0662,0.0364,0.0364,0.0380,0.0253,0.0313,0.0294,0.0313,0.0168,0.0281,0.0320,0.0341,0.0356,0.0356,0.0356,0.0454,0.0231,0.0205,0.0227,0.0253,0.0364,0.0543,0.0719,0.0631,0.0433,0.0765,0.0765,0.0734,0.0531,0.0780,0.1028,0.1070,0.0929,0.0870,0.0543,0.0473,0.0929,0.1914,0.2884,0.1671,0.2129,0.2503,0.2224,0.2680,0.1671,0.2164,0.1162,0.2002,0.1323,0.1349,0.1528,0.1702,0.2541,0.3321,0.3321,0.3087,0.3286,0.3117,0.2002,0.2224,0.3426,0.2541,0.2752,0.2817,0.3087,0.3872,0.3740,0.4901,0.4541,0.5854,0.6322,0.6806,0.5176,0.4220,0.4831,0.4619,0.5055,0.4149,0.4541,0.5139,0.4940,0.4652,0.5577,0.4940,0.4292,0.3740,0.4119,0.4149,0.4186,0.3774,0.3494,0.3392,0.3149,0.3460,0.4149,0.3019,0.2399,0.2436,0.3087,0.2680,0.3019,0.2988,0.2292,0.1731,0.2002,0.2849,0.2849,0.2783,0.2849,0.2645,0.3087,0.3053,0.2129,0.2193,0.1942,0.1731,0.2094,0.2193,0.3149,0.3460,0.3631,0.3321,0.3087,0.4292,0.5211,0.4149,0.3910,0.3149,0.3249,0.3392,0.3631,0.3215,0.2609,0.3840,0.4119,0.5211,0.4801,0.5758,0.6906,0.6851,0.6906,0.6482,0.7163,0.7799,0.7799,0.7209,0.8421,0.8681,0.9457,0.9547,0.9106,0.9013,0.9039,0.8966,0.8966,0.8828,0.8966,0.9013,0.9013,0.9013,0.7982,0.7755,0.7163,0.6089,0.5901,0.5254,0.5854,0.5854,0.5807,0.5419,0.5176,0.6227,0.5707,0.6806,0.8013,0.6806,0.5951,0.5854,0.6620,0.6576,0.5296,0.6482,0.6806,0.7951,0.8713,0.8765,0.8966,0.8279,0.8050,0.7755,0.7755,0.7629,0.7209,0.7505,0.7036,0.6427,0.7755,0.8681,0.8313
ExposeBuried	1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1
SurfaceAccessbility	0.751,0.562,0.243,0.422,0.244,0.324,0.267,0.458,0.137,0.186,0.384,0.202,0.412,0.171,0.228,0.229,0.125,0.250,0.243,0.049,0.044,0.074,0.146,0.056,0.183,0.195,0.198,0.038,0.103,0.254,0.099,0.051,0.099,0.259,0.222,0.063,0.056,0.054,0.063,0.084,0.098,0.055,0.135,0.166,0.065,0.044,0.179,0.108,0.068,0.085,0.235,0.100,0.093,0.086,0.288,0.523,0.343,0.244,0.465,0.377,0.116,0.073,0.394,0.310,0.033,0.131,0.290,0.141,0.027,0.460,0.497,0.178,0.181,0.581,0.216,0.070,0.171,0.082,0.180,0.101,0.066,0.077,0.122,0.112,0.114,0.065,0.120,0.063,0.043,0.051,0.191,0.294,0.100,0.096,0.444,0.444,0.181,0.349,0.602,0.125,0.444,0.138,0.273,0.501,0.216,0.050,0.108,0.068,0.046,0.044,0.181,0.165,0.241,0.117,0.386,0.264,0.450,0.451,0.605,0.407,0.152,0.356,0.124,0.079,0.201,0.286,0.081,0.047,0.131,0.349,0.138,0.204,0.467,0.091,0.259,0.193,0.057,0.069,0.062,0.044,0.220,0.237,0.091,0.154,0.290,0.323,0.076,0.146,0.576,0.444,0.090,0.451,0.359,0.116,0.558,0.258,0.068,0.125,0.542,0.238,0.303,0.207,0.217,0.298,0.559,0.708,0.374,0.333,0.575,0.379,0.083,0.668,0.607,0.125,0.619,0.303,0.576,0.253,0.258,0.293,0.095,0.046,0.031,0.046,0.028,0.046,0.055,0.053,0.126,0.281,0.087,0.145,0.262,0.431,0.132,0.330,0.477,0.658,0.298,0.430,0.095,0.368,0.426,0.445,0.264,0.157,0.046,0.271,0.225,0.054,0.080,0.529,0.278,0.061,0.370,0.451,0.095,0.280,0.451,0.336,0.034,0.188,0.142,0.060,0.097,0.216,0.144,0.280,0.107,0.065,0.130,0.048,0.096,0.093,0.065,0.076,0.111,0.163,0.058,0.044,0.095,0.064,0.073,0.052,0.115,0.189,0.101,0.069,0.100,0.115,0.039,0.066,0.089,0.098,0.291,0.408,0.122,0.124,0.417,0.315,0.627,0.576,0.351,0.178,0.634,0.715,0.345,0.555,0.120,0.341,0.053,0.067,0.035,0.070,0.038,0.100,0.118,0.052,0.062,0.199,0.122,0.112,0.129,0.144,0.147,0.139,0.069,0.106,0.384,0.070,0.041,0.478,0.452,0.068,0.101,0.414,0.347,0.191,0.314,0.651,0.560,0.530,0.683,0.469,0.127,0.533,0.350,0.370,0.218,0.112,0.136,0.338,0.365,0.435,0.113,0.381,0.100,0.219,0.127,0.137,0.129,0.066,0.270,0.478,0.100,0.199,0.564,0.579,0.081,0.413,0.510,0.198,0.501,0.588,0.499,0.253,0.280,0.152,0.539,0.600,0.706,0.607,0.397,0.490,0.267,0.353,0.203,0.258,0.139,0.223,0.243,0.118,0.256,0.516,0.218,0.254,0.354,0.330,0.453,0.151,0.337,0.395,0.420,0.364,0.122,0.410,0.110,0.350,0.167,0.479,0.543,0.658,0.622,0.176,0.491,0.164,0.476,0.425,0.274,0.606,0.480,0.481,0.703,0.394,0.401,0.328,0.388,0.572,0.215,0.441,0.294,0.517,0.105,0.058,0.358,0.379,0.079,0.112,0.385,0.174,0.307,0.206,0.288,0.303,0.116,0.369,0.479,0.285,0.416,0.386,0.381,0.418,0.346,0.112,0.313,0.230,0.095,0.074,0.353,0.491,0.451,0.378,0.271,0.320,0.229,0.491,0.216,0.636,0.656,0.558,0.382,0.553,0.178,0.594,0.140,0.243,0.207,0.338,0.203,0.618,0.655,0.569,0.347,0.366,0.715,0.280,0.558,0.366,0.484,0.432,0.555,0.258,0.170,0.523,0.523,0.593,0.189,0.448,0.574,0.401,0.758,0.361,0.386,0.362,0.508,0.510,0.428,0.477,0.577,0.291,0.136,0.304,0.154,0.123,0.380,0.352,0.367,0.229,0.481,0.330,0.116,0.251,0.105,0.102,0.237,0.157,0.359,0.244,0.432,0.545,0.302,0.464,0.395,0.323,0.414,0.196,0.180,0.389,0.445,0.430,0.259,0.424,0.604,0.545,0.530,0.649,0.643,0.324,0.868
