UniprotID	Q8N3V7-2
Accession	Q8N3V7;A5PKZ8;D3DQG8;O15271;Q9UPX1
EntryName	SYNPO_HUMAN
ProteinName	Synaptopodin
GeneName	SYNPO KIAA1029
Length	903
Function	Actin-associated protein that may play a role in modulating actin-based shape and motility of dendritic spines and renal podocyte foot processes. Seems to be essential for the formation of spine apparatuses in spines of telencephalic neurons, which is involved in synaptic plasticity (By similarity).
Subcellular Location	Cytoplasm; Cytoskeleton; Cell junction; Tight junction; Perikaryon; Cell projection; Dendritic spine; Postsynaptic density; Synapse; Cytoplasm; Cytosol
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7871141
pNuLoCRegion	15...32
