UniprotID	Q9Y4D8-5
Accession	Q9Y4D8;L8B0P6;Q3MJD5;Q6P0A0;Q7L530;Q8NB70;Q8WU73;Q96NT9;Q9NZS4;Q9UFT6
EntryName	HECD4_HUMAN
ProteinName	Probable E3 ubiquitin-protein ligase HECTD4 (EC 2.3.2.26) (HECT domain-containing protein 4) (HECT-type E3 ubiquitin transferase HECTD4)
GeneName	HECTD4 C12orf51 KIAA0614
Length	1321
Function	E3 ubiquitin-protein ligase which accepts ubiquitin from an E2 ubiquitin-conjugating enzyme in the form of a thioester and then directly transfers the ubiquitin to targeted substrates.
Subcellular Location	Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.40352345
pNuLoCRegion	19...58
