UniprotID	Q9HCH5-11
Accession	Q9HCH5;B3KRS3;B4DJT5;B4DKW3;B4DQ26;B7SA85;B7ZLX6;B7ZLX7;Q2YDA7;Q6TV07;Q6ZN59;Q6ZVC5;Q8ND34;Q96BJ2;Q9H768;Q9NXM1
EntryName	SYTL2_HUMAN
ProteinName	Synaptotagmin-like protein 2 (Breast cancer-associated antigen SGA-72M) (Exophilin-4)
GeneName	SYTL2 KIAA1597 SGA72M SLP2 SLP2A
Length	1232
Function	Isoform 1 acts as a RAB27A effector protein and plays a role in cytotoxic granule exocytosis in lymphocytes. It is required for cytotoxic granule docking at the immunologic synapse. Isoform 4 binds phosphatidylserine (PS) and phosphatidylinositol-4,5-bisphosphate (PIP2) and promotes the recruitment of glucagon-containing granules to the cell membrane in pancreatic alpha cells. Binding to PS is inhibited by Ca(2+) while binding to PIP2 is Ca(2+) insensitive.
Subcellular Location	Cytoplasm; Cell membrane; Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.624407
pNuLoCRegion	117...131;1055...1056
