UniprotID	Q9Y2A7-2
Accession	Q9Y2A7;O60329;Q53QN5;Q53S94;Q53Y35
EntryName	NCKP1_HUMAN
ProteinName	Nck-associated protein 1 (NAP 1) (Membrane-associated protein HEM-2) (p125Nap1)
GeneName	NCKAP1 HEM2 KIAA0587 NAP1
Length	1134
Function	Part of the WAVE complex that regulates lamellipodia formation. The WAVE complex regulates actin filament reorganization via its interaction with the Arp2/3 complex. Actin remodeling activity is regulated by RAC1. As component of the WAVE1 complex, required for BDNF-NTRK2 endocytic trafficking and signaling from early endosomes.
Subcellular Location	Cell membrane; Cell projection; Lamellipodium membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.27805915
pNuLoCRegion	70...85;124...130
