UniprotID	Q96MU7-2
Accession	Q96MU7;Q4W5Q3;Q7Z622;Q8TF35
EntryName	YTDC1_HUMAN
ProteinName	YTH domain-containing protein 1 (Splicing factor YT521) (YT521-B)
GeneName	YTHDC1 KIAA1966 YT521
Length	709
Function	Regulator of alternative splicing that specifically recognizes and binds N6-methyladenosine (m6A)-containing RNAs (PubMed:25242552, PubMed:26318451, PubMed:26876937, PubMed:28984244). M6A is a modification present at internal sites of mRNAs and some non-coding RNAs and plays a role in the efficiency of mRNA splicing, processing and stability (PubMed:25242552, PubMed:26318451). Acts as a key regulator of exon-inclusion or exon-skipping during alternative splicing via interaction with mRNA splicing factors SRSF3 and SRSF10 (PubMed:26876937). Specifically binds m6A-containing mRNAs and promotes recruitment of SRSF3 to its mRNA-binding elements adjacent to m6A sites, leading to exon-inclusion during alternative splicing (PubMed:26876937). In contrast, interaction with SRSF3 prevents interaction with SRSF10, a splicing factor that promotes exon skipping: this prevents SRSF10 from binding to its mRNA-binding sites close to m6A-containing regions, leading to inhibit exon skipping during alternative splicing (PubMed:26876937). May also regulate alternative splice site selection (PubMed:20167602). Also involved in nuclear export of m6A-containing mRNAs via interaction with SRSF3: interaction with SRSF3 facilitates m6A-containing mRNA-binding to both SRSF3 and NXF1, promoting mRNA nuclear export (PubMed:28984244). Involved in S-adenosyl-L-methionine homeostasis by regulating expression of MAT2A transcripts, probably by binding m6A-containing MAT2A mRNAs (By similarity). Also recognizes and binds m6A on other RNA molecules (PubMed:27602518). Involved in random X inactivation mediated by Xist RNA: recognizes and binds m6A-containing Xist and promotes transcription repression activity of Xist (PubMed:27602518). Also recognizes and binds m6A-containing single-stranded DNA (PubMed:32663306). Involved in germline development: required for spermatogonial development in males and oocyte growth and maturation in females, probably via its role in alternative splicing (By similarity).
Subcellular Location	Nucleus; Nucleus speckle
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.96166617
pNuLoCRegion	30...63;304...314;476...490;521...548;659...687
