UniprotID	Q6QNK2-4
Accession	Q6QNK2;B2CKK9;B7ZLF7;Q2M1L3;Q6ZMQ1;Q7Z7M2;Q86SM4
EntryName	AGRD1_HUMAN
ProteinName	Adhesion G-protein coupled receptor D1 (G-protein coupled receptor 133) (G-protein coupled receptor PGR25)
GeneName	ADGRD1 GPR133 PGR25
Length	906
Function	Orphan receptor. Signals via G(s)-alpha family of G-proteins (PubMed:22025619, PubMed:22575658). Has protumorigenic function especially in glioblastoma (PubMed:27775701).
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.011567054
pNuLoCRegion	
