UniprotID	Q9BXS9-3
Accession	Q9BXS9;B4DMZ1;Q548A7;Q96Q90;Q9NQU1
EntryName	S26A6_HUMAN
ProteinName	Solute carrier family 26 member 6 (Anion exchange transporter) (Pendrin-like protein 1) (Pendrin-L1)
GeneName	SLC26A6
Length	758
Function	Apical membrane anion-exchanger with wide epithelial distribution that plays a role as a component of the pH buffering system for maintaining acid-base homeostasis. Acts as a versatile DIDS-sensitive inorganic and organic anion transporter that mediates the uptake of monovalent anions like chloride, bicarbonate, formate and hydroxyl ion and divalent anions like sulfate and oxalate. Functions in multiple exchange modes involving pairs of these anions, which include chloride-bicarbonate, chloride-oxalate, oxalate-formate, oxalate-sulfate and chloride-formate exchange. Apical membrane chloride-bicarbonate exchanger that mediates luminal chloride absorption and bicarbonate secretion by the small intestinal brush border membrane and contributes to intracellular pH regulation in the duodenal upper villous epithelium during proton-coupled peptide absorption, possibly by providing a bicarbonate import pathway. Also mediates intestinal chloride absorption and oxalate secretion, thereby preventing hyperoxaluria and calcium oxalate urolithiasis. Transepithelial oxalate secretion, chloride-formate, chloride-oxalate and chloride-bicarbonate transport activities in the duodenum are inhibited by PKC activation in a calcium-independent manner. The apical membrane chloride-bicarbonate exchanger also provides a major route for fluid and bicarbonate secretion into the proximal tubules of the kidney as well as into the proximal part of the interlobular pancreatic ductal tree, where it mediates electrogenic chloride-bicarbonate exchange with a chloride-bicarbonate stoichiometry of 1:2, and hence will dilute and alkalinize protein-rich acinar secretion. Also mediates the transcellular sulfate absorption and oxalate secretion across the apical membrane in the duodenum and the formate ion efflux at the apical brush border of cells in the proximal tubules of kidney. Plays a role in sperm capacitation by increasing intracellular pH.
Subcellular Location	Cell membrane; Apical cell membrane; Cytoplasmic vesicle membrane; Microsome; Cell membrane; Apical cell membrane; Basolateral cell membrane; Cell membrane; Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.031767387
pNuLoCRegion	31...34;74...83
