UniprotID	Q75VX8-2
Accession	Q75VX8;B5MC97;B7WNK9;Q8NF27;Q9UIK8
EntryName	GARE2_HUMAN
ProteinName	GRB2-associated and regulator of MAPK protein 2 (GRB2-associated and regulator of MAPK1-like)
GeneName	GAREM2 FAM59B GAREML KIAA2038 HRIHFB2063
Length	741
Function	Probable adapter protein that may provide a link between cell surface epidermal growth factor receptor and the MAPK/ERK signaling pathway.
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.23671162
pNuLoCRegion	319...321
