UniprotID	Q27J81-2
Accession	Q27J81;Q27J83;Q69YL8;Q6P1X7;Q6PK22;Q86TR7;Q9BRM1;Q9H6N1
EntryName	INF2_HUMAN
ProteinName	Inverted formin-2 (HBEBP2-binding protein C)
GeneName	INF2 C14orf151 C14orf173
Length	1240
Function	Severs actin filaments and accelerates their polymerization and depolymerization.
Subcellular Location	Cytoplasm; Perinuclear region
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.73728675
pNuLoCRegion	25...30;56...77;100...124;155...155
