UniprotID	Q7Z6I6-3
Accession	Q7Z6I6;Q5SY52;Q5SY53;Q5SY54;Q6ZML6;Q7Z3J8;Q86XI7
EntryName	RHG30_HUMAN
ProteinName	Rho GTPase-activating protein 30 (Rho-type GTPase-activating protein 30)
GeneName	ARHGAP30
Length	953
Function	GTPase-activating protein (GAP) for RAC1 and RHOA, but not for CDC42.
Subcellular Location	Cytoplasmic vesicle
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.28057793
pNuLoCRegion	157...165;317...321
