UniprotID	Q86UU0-4
Accession	Q86UU0;A1A4C1;Q67FY1;Q6ZWJ0;Q6ZWK2
EntryName	BCL9L_HUMAN
ProteinName	B-cell CLL/lymphoma 9-like protein (B-cell lymphoma 9-like protein) (BCL9-like protein) (Protein BCL9-2)
GeneName	BCL9L DLNB11
Length	1453
Function	Transcriptional regulator that acts as an activator. Promotes beta-catenin transcriptional activity. Plays a role in tumorigenesis. Enhances the neoplastic transforming activity of CTNNB1 (By similarity).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7782749
pNuLoCRegion	118...133;141...165;203...204;229...237;263...271
