UniprotID	Q8TCY9-3
Accession	Q8TCY9;E9PFF6;Q658M4;Q68DH6;Q6MZZ5;Q8WV98;Q9NWR7;Q9P221
EntryName	URGCP_HUMAN
ProteinName	Up-regulator of cell proliferation (HBV X protein up-regulated gene 4 protein) (HBxAg up-regulated gene 4 protein)
GeneName	URGCP KIAA1507 URG4
Length	856
Function	May be involved in cell cycle progression through the regulation of cyclin D1 expression. May participate in the development of hepatocellular carcinoma (HCC) by promoting hepatocellular growth and survival. May play an important role in development of gastric cancer.
Subcellular Location	Cytoplasm; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.89626306
pNuLoCRegion	1...32
