UniprotID	Q13474-2
Accession	Q13474;A6ZKI5;A8K1B0;B1B1F3;B4DIZ0
EntryName	DRP2_HUMAN
ProteinName	Dystrophin-related protein 2 (DRP-2)
GeneName	DRP2
Length	879
Function	Required for normal myelination and for normal organization of the cytoplasm and the formation of Cajal bands in myelinating Schwann cells. Required for normal PRX location at appositions between the abaxonal surface of the myelin sheath and the Schwann cell plasma membrane. Possibly involved in membrane-cytoskeleton interactions of the central nervous system.
Subcellular Location	Postsynaptic density; Cell projection; Dendrite; Perikaryon; Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.33125895
pNuLoCRegion	736...737
