UniprotID	Q8NI08-7
Accession	Q8NI08;B2RNS2;B7Z2C4;B9EH71;G8JL91;Q3LID6;Q4G0V1;Q5TF95;Q6IPQ4;Q6NE83;Q86T89;Q8N1W4
EntryName	NCOA7_HUMAN
ProteinName	Nuclear receptor coactivator 7 (140 kDa estrogen receptor-associated protein) (Estrogen nuclear receptor coactivator 1)
GeneName	NCOA7 ERAP140 ESNA1 Nbla00052 Nbla10993
Length	827
Function	Enhances the transcriptional activities of several nuclear receptors. Involved in the coactivation of different nuclear receptors, such as ESR1, THRB, PPARG and RARA.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.92703164
pNuLoCRegion	50...72;567...585;645...659;769...786
