UniprotID	Q68CR1-3
Accession	Q68CR1;A0PJH6;A8K0X2;O94847;Q6P999;Q96G59
EntryName	SE1L3_HUMAN
ProteinName	Protein sel-1 homolog 3 (Suppressor of lin-12-like protein 3) (Sel-1L3)
GeneName	SEL1L3 KIAA0746
Length	979
Function	
Subcellular Location	Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.022945492
pNuLoCRegion	
