UniprotID	Q7L2E3-2
Accession	Q7L2E3;A8K5F1;O94965;Q7Z753;Q96CH4;Q9NUQ0
EntryName	DHX30_HUMAN
ProteinName	ATP-dependent RNA helicase DHX30 (EC 3.6.4.13) (DEAH box protein 30)
GeneName	DHX30 DDX30 KIAA0890
Length	1222
Function	RNA-dependent helicase (PubMed:29100085). Plays an important role in the assembly of the mitochondrial large ribosomal subunit (PubMed:25683715, PubMed:29100085). Required for optimal function of the zinc-finger antiviral protein ZC3HAV1 (By similarity). Associates with mitochondrial DNA (PubMed:18063578). Involved in nervous system development and differentiation through its involvement in the up-regulation of a number of genes which are required for neurogenesis, including GSC, NCAM1, neurogenin, and NEUROD (By similarity).
Subcellular Location	Cytoplasm; Mitochondrion; Mitochondrion matrix; Mitochondrion nucleoid
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.27184278
pNuLoCRegion	
