UniprotID	Q7Z460-3
Accession	Q7Z460;A2RU21;B7ZLX3;F5GWS0;O75118;Q2KHQ9;Q5H9P0;Q8N5B8;Q9BQT5
EntryName	CLAP1_HUMAN
ProteinName	CLIP-associating protein 1 (Cytoplasmic linker-associated protein 1) (Multiple asters homolog 1) (Protein Orbit homolog 1) (hOrbit1)
GeneName	CLASP1 KIAA0622 MAST1
Length	1494
Function	Microtubule plus-end tracking protein that promotes the stabilization of dynamic microtubules. Involved in the nucleation of noncentrosomal microtubules originating from the trans-Golgi network (TGN). Required for the polarization of the cytoplasmic microtubule arrays in migrating cells towards the leading edge of the cell. May act at the cell cortex to enhance the frequency of rescue of depolymerizing microtubules by attaching their plus-ends to cortical platforms composed of ERC1 and PHLDB2. This cortical microtubule stabilizing activity is regulated at least in part by phosphatidylinositol 3-kinase signaling. Also performs a similar stabilizing function at the kinetochore which is essential for the bipolar alignment of chromosomes on the mitotic spindle.
Subcellular Location	Cytoplasm; Cytoskeleton; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Chromosome; Centromere; Kinetochore; Cytoplasm; Cytoskeleton; Spindle; Golgi apparatus; trans-Golgi network
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.44423896
pNuLoCRegion	23...41
