UniprotID	Q9Y5H6-2
Accession	Q9Y5H6;B9EGT7;O75281
EntryName	PCDA8_HUMAN
ProteinName	Protocadherin alpha-8 (PCDH-alpha-8)
GeneName	PCDHA8
Length	814
Function	Potential calcium-dependent cell-adhesion protein. May be involved in the establishment and maintenance of specific neuronal connections in the brain.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.027223313
pNuLoCRegion	
