UniprotID	Q86V20-2
Accession	Q86V20;O95885;Q9H991
EntryName	SHLD2_HUMAN
ProteinName	Shieldin complex subunit 2 (Protein FAM35A) (RINN1-REV7-interacting novel NHEJ regulator 2) (Shield complex subunit 2)
GeneName	SHLD2 FAM35A RINN2
Length	904
Function	Component of the shieldin complex, which plays an important role in repair of DNA double-stranded breaks (DSBs) (PubMed:29656893, PubMed:29789392). During G1 and S phase of the cell cycle, the complex functions downstream of TP53BP1 to promote non-homologous end joining (NHEJ) and suppress DNA end resection (PubMed:29656893, PubMed:29789392). Mediates various NHEJ-dependent processes including immunoglobulin class-switch recombination, and fusion of unprotected telomeres (PubMed:29656893).
Subcellular Location	Nucleus; Chromosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.27236697
pNuLoCRegion	96...97
