UniprotID	Q68DV7-2
Accession	Q68DV7;A8K4R2;B7Z443;B7Z5D5;B7Z5J5;Q65ZA4;Q6AI04;Q9NXD0
EntryName	RNF43_HUMAN
ProteinName	E3 ubiquitin-protein ligase RNF43 (EC 2.3.2.27) (RING finger protein 43) (RING-type E3 ubiquitin transferase RNF43)
GeneName	RNF43
Length	742
Function	E3 ubiquitin-protein ligase that acts as a negative regulator of the Wnt signaling pathway by mediating the ubiquitination, endocytosis and subsequent degradation of Wnt receptor complex components Frizzled. Acts on both canonical and non-canonical Wnt signaling pathway (PubMed:18313049, PubMed:22575959, PubMed:22895187). Along with RSPO2 and ZNRF3, constitutes a master switch that governs limb specification (By similarity).
Subcellular Location	Cell membrane; Endoplasmic reticulum membrane; Nucleus envelope
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.041719116
pNuLoCRegion	
