UniprotID	Q9UPV9-2
Accession	Q9UPV9;E9PDS2;J3KNT7;Q63HR0;Q659B5;Q96B69
EntryName	TRAK1_HUMAN
ProteinName	Trafficking kinesin-binding protein 1 (106 kDa O-GlcNAc transferase-interacting protein) (Protein Milton)
GeneName	TRAK1 KIAA1042 OIP106
Length	686
Function	Involved in the regulation of endosome-to-lysosome trafficking, including endocytic trafficking of EGF-EGFR complexes and GABA-A receptors (PubMed:18675823). Involved in mitochondrial motility. When O-glycosylated, abolishes mitochondrial motility. Crucial for recruiting OGT to the mitochondrial surface of neuronal processes (PubMed:24995978). TRAK1 and RHOT form an essential protein complex that links KIF5 to mitochondria for light chain-independent, anterograde transport of mitochondria (By similarity).
Subcellular Location	Cytoplasm; Nucleus; Mitochondrion; Early endosome; Endosome; Mitochondrion membrane; Cytoplasm; Cell cortex
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.50745136
pNuLoCRegion	25...36
