UniprotID	Q9BZF1-3
Accession	Q9BZF1;A8K1T2;E9PE66;E9PE68;Q52LQ3;Q68D75;Q8WXP8;Q9P277
EntryName	OSBL8_HUMAN
ProteinName	Oxysterol-binding protein-related protein 8 (ORP-8) (OSBP-related protein 8)
GeneName	OSBPL8 KIAA1451 ORP8 OSBP10
Length	847
Function	Lipid transporter involved in lipid countertransport between the endoplasmic reticulum and the plasma membrane: specifically exchanges phosphatidylserine with phosphatidylinositol 4-phosphate (PI4P), delivering phosphatidylserine to the plasma membrane in exchange for PI4P, which is degraded by the SAC1/SACM1L phosphatase in the endoplasmic reticulum. Binds phosphatidylserine and PI4P in a mutually exclusive manner (PubMed:26206935). Binds oxysterol, 25-hydroxycholesterol and cholesterol (PubMed:17428193, PubMed:17991739, PubMed:21698267).
Subcellular Location	Endoplasmic reticulum membrane; Nucleus membrane; Endoplasmic reticulum membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.4295012
pNuLoCRegion	31...33;194...197;237...240;297...302
