UniprotID	Q9UQ88-4
Accession	Q9UQ88;O95227;O95228;O96012;Q12821;Q12853;Q12854;Q2TAJ0;Q5QPR0;Q5QPR1;Q5QPR2;Q9UBC4;Q9UBI3;Q9UEI1;Q9UEI2;Q9UP53;Q9UP54;Q9UP55;Q9UP56;Q9UQ86;Q9UQ87;Q9UQ89
EntryName	CD11A_HUMAN
ProteinName	Cyclin-dependent kinase 11A (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 2) (Cell division protein kinase 11A) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L2)
GeneName	CDK11A CDC2L2 CDC2L3 PITSLREB
Length	770
Function	Appears to play multiple roles in cell cycle progression, cytokinesis and apoptosis. The p110 isoforms have been suggested to be involved in pre-mRNA splicing, potentially by phosphorylating the splicing protein SFRS7. The p58 isoform may act as a negative regulator of normal cell cycle progression.
Subcellular Location	Cytoplasm; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.75772554
pNuLoCRegion	14...32;69...79;123...135;137...167;170...192;280...293;443...453
