UniprotID	Q9Y4K1-1
Accession	Q9Y4K1;A0A0J9YWL0;B4DU04;O00296;Q5VWJ2
EntryName	CRBG1_HUMAN
ProteinName	Beta/gamma crystallin domain-containing protein 1 (Absent in melanoma 1 protein)
GeneName	CRYBG1 AIM1
Length	1723
Function	May function as suppressor of malignant melanoma. It may exert its effects through interactions with the cytoskeleton.
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8681762
pNuLoCRegion	25...39;93...117;281...290;717...735;766...769;819...841
